Date,Branch_ID,City,Service_Type,Account_Type,Transaction_Amount,Transaction_Fee,Currency,Net_Amount,Channel
2023-01-02,F102,Abuja,Loan Repayment,Individual,252154.92,3015.6,USD,249139.32,Mobile App
2023-07-09,F101,Abuja,Money Transfer,Individual,995461.15,4996.97,USD,990464.18,Mobile App
2023-10-10,F103,Enugu,Loan Repayment,Business,791581.9,4427.8,NGN,787154.1,Web Portal
2023-03-02,F101,Kano,Money Transfer,Individual,726510.26,8175.37,NGN,718334.89,Web Portal
2023-04-11,F103,Lagos,Loan Disbursement,Individual,26662.43,356.8,NGN,26305.63,Mobile App
2023-08-22,F104,Abuja,Airtime Purchase,Business,798475.28,9609.69,USD,788865.59,Mobile App
2023-01-17,F102,Enugu,Loan Disbursement,Individual,204203.62,1814.56,USD,202389.06,Web Portal
2023-05-18,F103,Lagos,Loan Disbursement,Business,679537.71,2972.01,NGN,676565.7,Web Portal
2023-04-13,F102,Abuja,Money Transfer,Individual,86667.45,1180.17,NGN,85487.28,Mobile App
2023-04-04,F102,Kano,Airtime Purchase,Business,653975.63,6505.93,NGN,647469.7,Web Portal
2023-05-05,F104,Enugu,Loan Disbursement,Individual,260526.03,881.65,NGN,259644.38,Mobile App
2023-02-09,F102,Lagos,Loan Disbursement,Business,137737.9,482.07,NGN,137255.83,Agent Network
2023-06-11,F103,Abuja,Bill Payment,Individual,471389.51,5796.48,USD,465593.03,Web Portal
2023-07-07,F104,Abuja,Loan Repayment,Individual,890060.44,7216.04,USD,882844.4,Web Portal
2023-09-06,F101,Kano,Loan Repayment,Business,816838.92,3802.8,USD,813036.12,Mobile App
2023-09-20,F104,Abuja,Money Transfer,Individual,104597.07,831.29,USD,103765.78,Mobile App
2023-01-25,F104,Enugu,Loan Repayment,Individual,746799.74,3559.72,USD,743240.02,Web Portal
2023-04-02,F101,Kano,Airtime Purchase,Business,435279.71,3203.15,NGN,432076.56,Web Portal
2023-09-04,F101,Abuja,Loan Repayment,Individual,391888.11,1485.89,USD,390402.22,Web Portal
2023-08-30,F102,Enugu,Loan Repayment,Individual,517027.95,5220.72,NGN,511807.23,Web Portal
2023-05-29,F103,Lagos,Bill Payment,Individual,594482.24,7869.05,NGN,586613.19,Mobile App
2023-01-30,F103,Kano,Bill Payment,Individual,248457.75,3331.7,USD,245126.05,Agent Network
2023-03-15,F102,Abuja,Airtime Purchase,Business,337152.15,2928.13,NGN,334224.02,Web Portal
2023-09-12,F104,Lagos,Loan Disbursement,Business,21038.53,250.93,USD,20787.6,Web Portal
2023-04-01,F102,Abuja,Money Transfer,Business,841757.56,11827.83,USD,829929.73,Agent Network
2023-11-10,F103,Abuja,Bill Payment,Individual,161783.2,2397.68,USD,159385.52,Web Portal
2023-04-24,F101,Enugu,Money Transfer,Individual,787732.02,6533.48,NGN,781198.54,Web Portal
2023-10-10,F104,Abuja,Loan Repayment,Individual,538862.84,7630.27,NGN,531232.57,Agent Network
2023-06-23,F101,Abuja,Loan Repayment,Business,392369.95,4934.23,USD,387435.72,Agent Network
2023-03-31,F104,Lagos,Bill Payment,Individual,578171.37,6391.43,USD,571779.94,Mobile App
2023-01-24,F104,Lagos,Airtime Purchase,Business,490646.33,1953.3,USD,488693.03,Mobile App
2023-05-09,F101,Enugu,Loan Disbursement,Business,180259.15,1435.79,USD,178823.36,Mobile App
2023-11-19,F103,Lagos,Money Transfer,Business,608961.35,5164.65,USD,603796.7,Mobile App
2023-09-15,F104,Enugu,Loan Disbursement,Individual,336597.91,3837.88,USD,332760.03,Agent Network
2023-08-28,F101,Kano,Money Transfer,Individual,280145.57,2841.35,NGN,277304.22,Agent Network
2023-01-26,F102,Lagos,Bill Payment,Individual,172818.99,2402.01,USD,170416.98,Mobile App
2023-06-16,F101,Kano,Airtime Purchase,Business,386522.28,1100.12,USD,385422.16,Agent Network
2023-12-18,F103,Abuja,Loan Disbursement,Business,717202.21,9996.29,NGN,707205.92,Mobile App
2023-10-24,F101,Abuja,Loan Disbursement,Individual,564151.8,3658.7,NGN,560493.1,Mobile App
2023-11-03,F103,Kano,Loan Repayment,Business,769350.1,7863.44,USD,761486.66,Web Portal
2023-07-31,F102,Kano,Money Transfer,Business,925677.92,7423.7,NGN,918254.22,Agent Network
2023-06-23,F102,Lagos,Loan Repayment,Business,139104.26,1695.23,NGN,137409.03,Web Portal
2023-11-28,F103,Kano,Money Transfer,Business,829559.93,8189.35,USD,821370.58,Mobile App
2023-06-22,F101,Enugu,Loan Disbursement,Individual,450447.49,1582.79,USD,448864.7,Agent Network
2023-12-24,F104,Lagos,Loan Repayment,Business,144195.71,441.63,USD,143754.08,Agent Network
2023-05-21,F102,Enugu,Bill Payment,Individual,220602.0,1521.75,USD,219080.25,Mobile App
2023-04-20,F103,Enugu,Loan Disbursement,Business,857495.7,7809.24,NGN,849686.46,Agent Network
2023-11-15,F103,Enugu,Money Transfer,Business,610435.82,5016.95,USD,605418.87,Agent Network
2023-01-08,F101,Abuja,Money Transfer,Business,725246.54,2614.52,USD,722632.02,Web Portal
2023-11-05,F101,Kano,Bill Payment,Business,587672.87,4580.58,USD,583092.29,Mobile App
2023-09-09,F102,Abuja,Bill Payment,Individual,830587.77,11648.72,USD,818939.05,Web Portal
2023-12-07,F102,Abuja,Loan Repayment,Business,498920.08,7168.74,NGN,491751.34,Agent Network
2023-12-13,F103,Abuja,Loan Disbursement,Individual,202420.75,1825.38,NGN,200595.37,Mobile App
2023-01-30,F103,Kano,Airtime Purchase,Business,779025.77,8902.86,USD,770122.91,Web Portal
2024-01-01,F104,Kano,Airtime Purchase,Individual,191648.32,2003.44,USD,189644.88,Web Portal
2023-02-12,F102,Lagos,Loan Repayment,Individual,871095.09,11440.28,USD,859654.81,Agent Network
2023-07-29,F104,Abuja,Loan Disbursement,Individual,589650.59,6510.75,USD,583139.84,Web Portal
2023-09-30,F101,Enugu,Bill Payment,Individual,847921.37,11671.08,USD,836250.29,Agent Network
2023-12-31,F102,Abuja,Loan Disbursement,Business,122605.27,1445.3,NGN,121159.97,Agent Network
2023-10-14,F102,Lagos,Loan Disbursement,Individual,328594.52,3549.78,USD,325044.74,Mobile App
2023-06-21,F104,Enugu,Bill Payment,Individual,64120.75,734.51,NGN,63386.24,Agent Network
2023-01-28,F101,Kano,Loan Disbursement,Business,337867.24,3102.66,NGN,334764.58,Agent Network
2023-12-31,F104,Kano,Loan Disbursement,Individual,249707.08,3115.33,USD,246591.75,Mobile App
2023-12-24,F102,Lagos,Bill Payment,Business,58569.61,812.86,USD,57756.75,Agent Network
2023-03-19,F101,Lagos,Bill Payment,Business,621568.8,7960.0,USD,613608.8,Mobile App
2023-12-03,F104,Kano,Bill Payment,Business,903122.03,3930.85,NGN,899191.18,Web Portal
2023-08-05,F104,Enugu,Money Transfer,Individual,874346.15,6568.41,NGN,867777.74,Mobile App
2023-07-22,F103,Lagos,Bill Payment,Business,419315.33,855.04,NGN,418460.29,Agent Network
2023-04-25,F104,Enugu,Airtime Purchase,Business,19296.75,212.49,NGN,19084.26,Web Portal
2023-01-11,F102,Lagos,Bill Payment,Business,598113.84,1834.91,USD,596278.93,Mobile App
2023-10-16,F101,Enugu,Loan Repayment,Individual,817416.48,8381.76,USD,809034.72,Agent Network
2023-01-11,F104,Kano,Loan Repayment,Individual,466433.36,4100.07,NGN,462333.29,Mobile App
2023-09-06,F101,Lagos,Airtime Purchase,Individual,439034.12,3010.13,USD,436023.99,Web Portal
2023-01-11,F102,Lagos,Bill Payment,Business,798780.77,7372.0,NGN,791408.77,Web Portal
2023-11-16,F104,Lagos,Loan Repayment,Business,33679.69,351.2,NGN,33328.49,Agent Network
2023-09-15,F103,Abuja,Airtime Purchase,Individual,612079.63,8094.9,USD,603984.73,Agent Network
2023-05-17,F103,Lagos,Money Transfer,Individual,554138.55,6113.69,NGN,548024.86,Agent Network
2023-07-28,F102,Lagos,Bill Payment,Business,871757.95,6276.25,USD,865481.7,Mobile App
2023-12-16,F104,Enugu,Loan Disbursement,Business,898727.8,4530.82,USD,894196.98,Web Portal
2023-06-29,F103,Enugu,Money Transfer,Business,233102.36,510.79,USD,232591.57,Agent Network
2023-08-19,F104,Enugu,Loan Disbursement,Individual,95130.07,362.12,NGN,94767.95,Mobile App
2023-07-14,F104,Kano,Airtime Purchase,Individual,321283.49,2446.33,NGN,318837.16,Web Portal
2023-05-11,F102,Lagos,Loan Repayment,Individual,851494.12,6051.04,NGN,845443.08,Web Portal
2023-03-22,F101,Enugu,Airtime Purchase,Business,270233.16,1882.87,USD,268350.29,Agent Network
2023-09-26,F102,Enugu,Money Transfer,Business,812120.8,7975.45,USD,804145.35,Mobile App
2023-07-06,F103,Enugu,Loan Repayment,Business,281687.48,2719.04,USD,278968.44,Web Portal
2023-05-21,F104,Enugu,Bill Payment,Business,648868.01,3133.85,USD,645734.16,Web Portal
2023-03-29,F101,Enugu,Airtime Purchase,Business,875848.8,7795.43,USD,868053.37,Agent Network
2023-10-08,F103,Enugu,Loan Disbursement,Business,497299.03,4059.08,USD,493239.95,Web Portal
2023-01-24,F102,Lagos,Bill Payment,Individual,999120.11,10433.18,NGN,988686.93,Web Portal
2023-06-04,F102,Lagos,Airtime Purchase,Business,382052.47,2357.81,NGN,379694.66,Agent Network
2023-04-21,F102,Abuja,Loan Repayment,Business,144782.5,1798.5,USD,142984.0,Agent Network
2023-07-04,F104,Kano,Bill Payment,Business,692652.06,9583.86,USD,683068.2,Web Portal
2023-08-26,F104,Lagos,Airtime Purchase,Individual,482796.09,5568.09,NGN,477228.0,Web Portal
2023-05-20,F103,Lagos,Loan Disbursement,Business,523573.41,7397.76,NGN,516175.65,Mobile App
2023-01-24,F101,Enugu,Loan Repayment,Business,603716.21,3995.08,NGN,599721.13,Mobile App
2023-06-11,F103,Abuja,Loan Repayment,Individual,467126.39,4518.2,NGN,462608.19,Web Portal
2023-11-06,F102,Abuja,Airtime Purchase,Business,664279.03,4852.22,USD,659426.81,Mobile App
2023-07-16,F103,Kano,Bill Payment,Business,750923.34,4326.39,USD,746596.95,Agent Network
2023-02-23,F101,Abuja,Airtime Purchase,Individual,795461.38,3963.48,NGN,791497.9,Agent Network
2023-11-04,F101,Lagos,Bill Payment,Business,781673.56,7579.68,USD,774093.88,Mobile App
2023-03-27,F102,Kano,Loan Disbursement,Business,410676.29,4806.76,USD,405869.53,Mobile App
2023-07-15,F101,Kano,Loan Disbursement,Individual,338497.06,4017.73,NGN,334479.33,Web Portal
2023-09-15,F102,Enugu,Airtime Purchase,Business,424788.15,3253.05,USD,421535.1,Web Portal
2023-05-30,F102,Kano,Bill Payment,Business,298467.95,2227.83,USD,296240.12,Mobile App
2023-04-28,F101,Lagos,Money Transfer,Individual,873037.26,4393.81,USD,868643.45,Web Portal
2023-10-25,F104,Kano,Loan Repayment,Individual,278789.56,1659.34,USD,277130.22,Mobile App
2023-08-28,F101,Kano,Loan Disbursement,Business,763125.55,10168.68,USD,752956.87,Web Portal
2023-12-13,F101,Abuja,Loan Repayment,Individual,4391.35,44.43,NGN,4346.92,Mobile App
2023-10-21,F102,Enugu,Bill Payment,Individual,607137.88,5216.68,NGN,601921.2,Mobile App
2023-04-01,F102,Lagos,Airtime Purchase,Business,20445.57,99.05,NGN,20346.52,Agent Network
2023-11-15,F101,Lagos,Loan Disbursement,Individual,422834.26,2706.06,NGN,420128.2,Mobile App
2023-01-24,F104,Lagos,Money Transfer,Individual,380714.26,2393.01,USD,378321.25,Mobile App
2023-12-21,F102,Abuja,Loan Disbursement,Individual,605416.8,6675.7,NGN,598741.1,Web Portal
2023-01-14,F104,Abuja,Money Transfer,Individual,325962.86,3428.23,NGN,322534.63,Mobile App
2023-09-26,F101,Kano,Loan Disbursement,Individual,918279.33,8262.94,USD,910016.39,Mobile App
2023-02-28,F104,Enugu,Airtime Purchase,Business,151366.04,1417.73,NGN,149948.31,Mobile App
2023-05-09,F103,Enugu,Airtime Purchase,Business,832857.4,11280.45,NGN,821576.95,Web Portal
2023-11-27,F101,Lagos,Bill Payment,Individual,315069.86,1573.54,NGN,313496.32,Agent Network
2023-04-27,F104,Enugu,Money Transfer,Individual,237358.7,699.12,NGN,236659.58,Mobile App
2023-08-15,F103,Abuja,Loan Disbursement,Individual,692585.56,9941.37,USD,682644.19,Mobile App
2023-01-24,F104,Kano,Money Transfer,Individual,870258.74,11147.3,USD,859111.44,Web Portal
2023-07-09,F102,Lagos,Bill Payment,Individual,872728.01,3294.31,USD,869433.7,Agent Network
2023-12-28,F103,Kano,Money Transfer,Business,906261.42,12323.49,USD,893937.93,Web Portal
2023-01-21,F101,Abuja,Loan Repayment,Individual,655894.09,1510.38,USD,654383.71,Mobile App
2023-08-21,F104,Lagos,Bill Payment,Individual,868260.31,9547.52,USD,858712.79,Web Portal
2023-02-25,F104,Lagos,Loan Disbursement,Business,882906.01,10014.33,NGN,872891.68,Web Portal
2023-06-13,F101,Lagos,Loan Disbursement,Individual,819166.03,2637.4,USD,816528.63,Agent Network
2023-10-29,F102,Enugu,Airtime Purchase,Business,909299.26,3249.32,NGN,906049.94,Web Portal
2023-11-30,F103,Lagos,Bill Payment,Business,345311.26,4179.2,NGN,341132.06,Web Portal
2023-04-16,F102,Enugu,Loan Repayment,Individual,727576.02,8188.52,USD,719387.5,Web Portal
2023-08-15,F101,Kano,Airtime Purchase,Individual,881516.07,8059.1,USD,873456.97,Mobile App
2023-07-11,F102,Kano,Loan Disbursement,Business,695244.55,4786.76,USD,690457.79,Web Portal
2023-02-28,F104,Abuja,Money Transfer,Business,736143.03,6537.53,NGN,729605.5,Agent Network
2023-09-01,F101,Kano,Airtime Purchase,Business,942325.2,4395.34,USD,937929.86,Agent Network
2023-05-06,F103,Kano,Bill Payment,Business,394279.17,4670.8,NGN,389608.37,Mobile App
2023-01-02,F103,Abuja,Loan Repayment,Individual,794461.1,9734.86,NGN,784726.24,Web Portal
2023-01-03,F102,Abuja,Loan Repayment,Individual,332491.12,2065.54,NGN,330425.58,Agent Network
2023-09-06,F102,Lagos,Loan Repayment,Business,576794.24,6506.99,NGN,570287.25,Web Portal
2023-07-01,F102,Enugu,Loan Repayment,Individual,303949.28,3738.89,USD,300210.39,Agent Network
2023-12-30,F104,Kano,Bill Payment,Individual,982137.5,7126.7,USD,975010.8,Web Portal
2023-03-06,F104,Kano,Loan Repayment,Individual,396617.66,797.48,NGN,395820.18,Mobile App
2023-07-20,F103,Lagos,Bill Payment,Business,258198.15,1881.68,USD,256316.47,Web Portal
2023-01-05,F104,Kano,Loan Repayment,Individual,788968.05,5792.54,NGN,783175.51,Web Portal
2023-11-27,F102,Lagos,Loan Disbursement,Business,554375.36,4897.95,USD,549477.41,Agent Network
2023-10-20,F102,Enugu,Money Transfer,Business,101915.76,285.93,USD,101629.83,Mobile App
2023-01-02,F101,Lagos,Airtime Purchase,Individual,967394.84,7200.62,USD,960194.22,Mobile App
2023-04-28,F102,Abuja,Loan Disbursement,Business,685783.28,8545.76,USD,677237.52,Agent Network
2023-06-02,F102,Kano,Airtime Purchase,Individual,263040.23,3303.13,NGN,259737.1,Web Portal
2023-02-20,F104,Abuja,Loan Disbursement,Individual,432731.2,2280.66,NGN,430450.54,Mobile App
2023-11-06,F102,Kano,Loan Repayment,Individual,953036.66,5231.76,USD,947804.9,Mobile App
2023-11-15,F101,Lagos,Airtime Purchase,Business,416969.67,6121.34,USD,410848.33,Web Portal
2023-04-24,F102,Kano,Loan Repayment,Business,686402.38,1736.64,USD,684665.74,Mobile App
2023-11-30,F103,Lagos,Money Transfer,Business,35652.04,448.82,NGN,35203.22,Web Portal
2023-02-06,F101,Lagos,Airtime Purchase,Business,316881.34,3524.71,NGN,313356.63,Mobile App
2023-04-07,F102,Enugu,Bill Payment,Business,819473.26,3211.84,USD,816261.42,Agent Network
2023-10-26,F101,Lagos,Airtime Purchase,Individual,964319.15,8593.7,NGN,955725.45,Web Portal
2023-08-19,F101,Enugu,Money Transfer,Individual,558932.61,8074.79,NGN,550857.82,Mobile App
2023-03-24,F104,Abuja,Money Transfer,Business,843252.07,4371.95,USD,838880.12,Mobile App
2023-12-15,F102,Lagos,Loan Repayment,Business,870201.68,6255.27,NGN,863946.41,Agent Network
2023-04-08,F102,Lagos,Loan Repayment,Individual,619112.96,2447.84,USD,616665.12,Web Portal
2023-11-02,F102,Abuja,Bill Payment,Business,59520.05,134.86,NGN,59385.19,Web Portal
2023-12-27,F103,Enugu,Airtime Purchase,Business,157697.56,1855.05,NGN,155842.51,Web Portal
2023-10-23,F104,Lagos,Airtime Purchase,Individual,595521.54,8767.07,USD,586754.47,Agent Network
2023-11-21,F104,Kano,Airtime Purchase,Business,126903.18,606.35,USD,126296.83,Web Portal
2023-08-04,F104,Lagos,Bill Payment,Individual,452647.15,925.82,NGN,451721.33,Mobile App
2023-03-27,F104,Kano,Loan Disbursement,Individual,453868.95,5492.25,NGN,448376.7,Web Portal
2023-07-08,F104,Enugu,Airtime Purchase,Individual,44236.09,577.93,NGN,43658.16,Agent Network
2023-06-05,F104,Enugu,Loan Disbursement,Individual,544108.97,1971.81,USD,542137.16,Agent Network
2023-09-29,F101,Abuja,Money Transfer,Individual,377835.48,1494.38,NGN,376341.1,Web Portal
2023-10-01,F101,Enugu,Loan Disbursement,Business,966162.35,13593.97,USD,952568.38,Web Portal
2023-07-16,F101,Abuja,Airtime Purchase,Business,198875.03,596.32,USD,198278.71,Agent Network
2023-06-09,F103,Enugu,Money Transfer,Business,871882.68,10191.12,USD,861691.56,Mobile App
2023-09-22,F104,Abuja,Airtime Purchase,Business,509564.01,4621.63,USD,504942.38,Mobile App
2023-02-23,F103,Kano,Money Transfer,Individual,604985.41,7886.18,USD,597099.23,Agent Network
2023-06-10,F104,Lagos,Bill Payment,Individual,709389.83,3741.66,NGN,705648.17,Agent Network
2023-03-16,F103,Lagos,Loan Repayment,Business,522730.06,2154.76,USD,520575.3,Web Portal
2023-02-25,F103,Abuja,Money Transfer,Individual,781760.3,9736.61,NGN,772023.69,Agent Network
2023-01-14,F102,Lagos,Bill Payment,Individual,315126.25,1162.78,NGN,313963.47,Agent Network
2023-07-02,F101,Abuja,Loan Disbursement,Business,474052.79,2845.74,USD,471207.05,Agent Network
2023-07-09,F102,Abuja,Airtime Purchase,Business,490676.06,3614.89,USD,487061.17,Agent Network
2023-01-11,F104,Abuja,Loan Disbursement,Individual,420062.38,5617.37,NGN,414445.01,Web Portal
2023-03-13,F103,Lagos,Bill Payment,Business,829147.59,11529.48,USD,817618.11,Agent Network
2023-01-27,F101,Lagos,Money Transfer,Individual,280987.36,2688.64,USD,278298.72,Mobile App
2023-03-18,F102,Enugu,Airtime Purchase,Business,370287.15,4789.22,NGN,365497.93,Web Portal
2023-01-19,F103,Abuja,Loan Disbursement,Individual,158462.06,859.73,USD,157602.33,Mobile App
2023-05-30,F104,Lagos,Airtime Purchase,Individual,531179.0,2253.33,NGN,528925.67,Mobile App
2023-12-14,F102,Enugu,Bill Payment,Business,956097.08,3737.89,USD,952359.19,Web Portal
2023-05-21,F101,Lagos,Airtime Purchase,Business,611732.17,7508.37,USD,604223.8,Mobile App
2023-09-07,F101,Lagos,Airtime Purchase,Individual,653112.5,3198.34,NGN,649914.16,Mobile App
2023-10-26,F103,Abuja,Loan Repayment,Business,838763.81,6548.76,USD,832215.05,Agent Network
2023-08-24,F102,Enugu,Loan Disbursement,Business,611937.3,3749.58,NGN,608187.72,Agent Network
2023-03-05,F101,Kano,Loan Disbursement,Business,700408.95,6505.16,NGN,693903.79,Web Portal
2023-09-25,F103,Lagos,Loan Disbursement,Individual,179130.57,894.3,USD,178236.27,Mobile App
2023-06-23,F104,Abuja,Loan Disbursement,Individual,156934.73,1522.5,NGN,155412.23,Agent Network
2023-12-16,F103,Kano,Bill Payment,Individual,778353.66,2712.35,USD,775641.31,Mobile App
2023-03-28,F102,Abuja,Money Transfer,Individual,643620.67,3398.09,NGN,640222.58,Web Portal
2023-03-31,F101,Kano,Loan Disbursement,Individual,364391.18,2525.38,USD,361865.8,Agent Network
2023-09-13,F103,Enugu,Airtime Purchase,Business,380485.52,800.87,USD,379684.65,Web Portal
2023-01-12,F104,Lagos,Loan Repayment,Business,835244.47,11609.17,NGN,823635.3,Agent Network
2023-02-17,F102,Kano,Bill Payment,Individual,796560.77,10098.55,NGN,786462.22,Mobile App
2023-04-18,F101,Enugu,Airtime Purchase,Business,746947.11,4853.93,USD,742093.18,Agent Network
2023-11-17,F102,Kano,Bill Payment,Individual,719758.66,3980.72,NGN,715777.94,Web Portal
2023-11-22,F104,Enugu,Bill Payment,Individual,395084.45,1715.6,USD,393368.85,Web Portal
2023-03-28,F102,Kano,Loan Disbursement,Individual,466062.14,3934.95,USD,462127.19,Mobile App
2023-07-19,F101,Lagos,Bill Payment,Business,357248.51,4695.45,USD,352553.06,Agent Network
2023-06-27,F102,Lagos,Airtime Purchase,Business,739011.3,6323.52,NGN,732687.78,Agent Network
2023-11-30,F103,Kano,Loan Disbursement,Business,977821.53,3563.35,USD,974258.18,Web Portal
2023-11-17,F102,Enugu,Loan Repayment,Business,42915.13,643.01,NGN,42272.12,Mobile App
2023-02-06,F102,Abuja,Loan Repayment,Business,419174.33,1860.76,NGN,417313.57,Agent Network
2023-07-27,F103,Enugu,Loan Repayment,Business,429355.63,5976.11,NGN,423379.52,Web Portal
2023-06-16,F103,Abuja,Money Transfer,Business,98832.06,1134.01,NGN,97698.05,Mobile App
2023-11-22,F103,Abuja,Loan Repayment,Business,789855.62,2562.87,NGN,787292.75,Agent Network
2023-08-27,F104,Lagos,Loan Disbursement,Business,951462.04,2002.55,USD,949459.49,Agent Network
2023-01-01,F103,Kano,Loan Disbursement,Individual,743840.15,1980.86,USD,741859.29,Mobile App
2023-07-02,F104,Kano,Bill Payment,Individual,232753.37,503.07,USD,232250.3,Mobile App
2023-06-01,F102,Kano,Airtime Purchase,Individual,790038.61,6271.32,NGN,783767.29,Mobile App
2023-09-22,F102,Enugu,Bill Payment,Business,95452.43,911.9,NGN,94540.53,Web Portal
2023-01-14,F104,Kano,Airtime Purchase,Business,470670.41,5393.64,NGN,465276.77,Web Portal
2023-06-03,F103,Lagos,Bill Payment,Business,333288.56,2836.95,USD,330451.61,Mobile App
2023-12-21,F104,Lagos,Money Transfer,Business,53930.95,605.84,USD,53325.11,Agent Network
2023-05-27,F103,Kano,Airtime Purchase,Business,775403.69,9618.16,USD,765785.53,Mobile App
